,Epoch,Training Loss,Validation Loss
0,1,1.0088,1.0402
1,2,0.9749,1.0123
2,3,0.9537,0.9951
3,4,0.9367,0.9847
4,5,0.9276,0.9781
5,6,0.9192,0.9729
6,7,0.9135,0.9674
7,8,0.9106,0.962
8,9,0.9053,0.9619
9,10,0.9007,0.9546
10,11,0.8964,0.9468
11,12,0.8914,0.9487
12,13,0.8875,0.9455
13,14,0.8825,0.943
14,15,0.8789,0.9411
15,16,0.8769,0.9362
16,17,0.8739,0.9356
17,18,0.8705,0.9352
18,19,0.8684,0.9381
19,20,0.8659,0.9352
20,21,0.8648,0.9277
21,22,0.8633,0.928
22,23,0.8622,0.9311
23,24,0.8599,0.9254
24,25,0.8578,0.9333
25,26,0.8573,0.923
26,27,0.8547,0.92
27,28,0.8546,0.9206
28,29,0.8514,0.9193
29,30,0.851,0.9176
