Epoch,Training Loss,Validation Loss,Learning Rate
1,1.0037,1.0442,0.001
2,0.9987,1.0477,0.001
3,0.9979,1.0477,0.001
4,0.9979,1.0475,0.001
5,0.9954,1.0349,0.001
6,0.9765,1.0195,0.001
7,0.9631,0.9986,0.001
8,0.9403,0.9913,0.001
9,0.9278,0.9815,0.001
10,0.9219,0.9769,0.001
11,0.9159,0.9706,0.001
12,0.9119,0.9699,0.001
13,0.9085,0.9682,0.001
14,0.9051,0.9639,0.001
15,0.9005,0.9588,0.001
16,0.8963,0.9538,0.001
17,0.8926,0.9519,0.001
18,0.8892,0.9507,0.001
19,0.8863,0.9511,0.001
20,0.8834,0.9476,0.001
21,0.8823,0.945,0.001
22,0.8789,0.9429,0.001
23,0.876,0.9365,0.001
24,0.8708,0.9354,0.001
25,0.8687,0.9322,0.001
26,0.8665,0.93,0.001
27,0.8648,0.9305,0.001
28,0.8628,0.9259,0.001
29,0.8607,0.9243,0.001
30,0.8594,0.9247,0.0001
31,0.8577,0.909,0.0001
32,0.8535,0.9069,0.0001
33,0.8517,0.9059,0.0001
34,0.8504,0.9052,0.0001
35,0.8492,0.9047,0.0001
36,0.8482,0.9041,0.0001
37,0.8473,0.9038,0.0001
38,0.8464,0.9032,0.0001
39,0.8455,0.9029,0.0001
40,0.8446,0.9027,0.0001
41,0.8438,0.9021,0.0001
42,0.843,0.9023,0.0001
43,0.8422,0.902,0.0001
44,0.8414,0.9013,0.0001
45,0.8407,0.9007,0.0001
46,0.84,0.9009,0.0001
47,0.8395,0.9012,0.0001
48,0.839,0.9018,0.0001
49,0.8387,0.9014,0.0001
50,0.8383,0.9,0.0001
51,0.8376,0.9026,0.0001
52,0.8368,0.9022,0.0001
53,0.8365,0.901,0.0001
54,0.8363,0.8996,0.0001
55,0.8359,0.8987,0.0001
56,0.8355,0.8996,0.0001
57,0.8349,0.8992,0.0001
58,0.8345,0.8997,0.0001
59,0.8342,0.8991,0.0001
60,0.8342,0.8975,1e-05
61,0.8349,0.8959,1e-05
62,0.8337,0.8954,1e-05
63,0.8331,0.8953,1e-05
64,0.8327,0.8951,1e-05
65,0.8324,0.895,1e-05
66,0.8321,0.895,1e-05
67,0.8319,0.8949,1e-05
68,0.8317,0.8949,1e-05
69,0.8316,0.8948,1e-05
70,0.8314,0.8948,1e-05
71,0.8312,0.8947,1e-05
72,0.8311,0.8947,1e-05
73,0.831,0.8947,1e-05
74,0.8308,0.8946,1e-05
75,0.8307,0.8946,1e-05
76,0.8306,0.8946,1e-05
77,0.8305,0.8945,1e-05
78,0.8303,0.8945,1e-05
79,0.8302,0.8945,1e-05
80,0.8301,0.8945,1e-05
81,0.83,0.8945,1e-05
82,0.8299,0.8945,1e-05
83,0.8298,0.8944,1e-05
84,0.8297,0.8944,1e-05
85,0.8296,0.8944,1e-05
86,0.8295,0.8944,1e-05
87,0.8294,0.8944,1e-05
88,0.8293,0.8944,1e-05
89,0.8292,0.8944,1e-05
90,0.8291,0.8943,1.0000000000000002e-06
91,0.8293,0.8942,1.0000000000000002e-06
92,0.8292,0.8942,1.0000000000000002e-06
93,0.8292,0.8942,1.0000000000000002e-06
94,0.8291,0.8942,1.0000000000000002e-06
95,0.8291,0.8942,1.0000000000000002e-06
96,0.8291,0.8942,1.0000000000000002e-06
97,0.8291,0.8943,1.0000000000000002e-06
98,0.829,0.8943,1.0000000000000002e-06
99,0.829,0.8943,1.0000000000000002e-06
100,0.829,0.8943,1.0000000000000002e-06
101,0.829,0.8943,1.0000000000000002e-06
102,0.829,0.8943,9.89073800366903e-07
103,0.829,0.8943,9.567727288213006e-07
104,0.8289,0.8943,9.045084971874739e-07
105,0.8289,0.8943,8.345653031794293e-07
106,0.8289,0.8943,7.500000000000001e-07
107,0.8289,0.8943,6.545084971874739e-07
108,0.8289,0.8943,5.522642316338269e-07
109,0.8289,0.8943,4.4773576836617347e-07
110,0.8289,0.8943,3.454915028125264e-07
111,0.8289,0.8943,2.5000000000000015e-07
112,0.8288,0.8943,1.6543469682057106e-07
113,0.8288,0.8943,9.549150281252633e-08
114,0.8288,0.8943,4.322727117869952e-08
115,0.8288,0.8943,1.0926199633097158e-08
116,0.8288,0.8943,0.0
117,0.8288,0.8943,1.0926199633097156e-05
118,0.8288,0.8944,4.322727117869957e-05
119,0.829,0.8944,9.549150281252627e-05
120,0.8294,0.8957,0.00016543469682057076
121,0.8326,0.8981,0.0002499999999999998
122,0.837,0.9005,0.0003454915028125263
123,0.8386,0.904,0.000447735768366173
124,0.8397,0.9059,0.0005522642316338266
125,0.8408,0.9036,0.0006545084971874736
126,0.8414,0.9089,0.0007500000000000001
127,0.8421,0.9038,0.0008345653031794293
128,0.8428,0.907,0.0009045084971874739
129,0.8418,0.9083,0.0009567727288213007
130,0.8398,0.9108,0.000989073800366903
131,0.8398,0.916,0.0010000000000000002
132,0.8396,0.9143,0.000989073800366903
133,0.8384,0.909,0.0009567727288213008
134,0.8379,0.9009,0.0009045084971874739
135,0.8364,0.8961,0.0008345653031794293
136,0.8358,0.8977,0.0007500000000000003
