Epoch,Training Loss,Validation Loss,Learning Rate
1.0,0.9822,0.7327,0.001
2.0,0.6418,0.6066,0.001
3.0,0.579,0.5696,0.001
4.0,0.563,0.5607,0.001
5.0,0.5566,0.5505,0.001
6.0,0.5478,0.5394,0.001
7.0,0.5331,0.5238,0.001
8.0,0.5169,0.5071,0.001
9.0,0.5057,0.4964,0.001
10.0,0.4928,0.4851,0.001
11.0,0.4825,0.4736,0.001
12.0,0.4714,0.4676,0.001
13.0,0.4632,0.4534,0.001
14.0,0.4543,0.4462,0.001
15.0,0.449,0.4415,0.001
16.0,0.4458,0.4405,0.001
17.0,0.4428,0.4359,0.001
18.0,0.4409,0.4407,0.001
19.0,0.4385,0.4334,0.001
20.0,0.4341,0.4308,0.001
21.0,0.4313,0.4284,0.001
22.0,0.4294,0.4256,0.001
23.0,0.4281,0.4278,0.001
24.0,0.4266,0.4261,0.001
25.0,0.4232,0.4226,0.001
26.0,0.4203,0.421,0.001
27.0,0.4191,0.4235,0.001
28.0,0.4157,0.4156,0.001
29.0,0.4126,0.4119,0.001
30.0,0.4123,0.4087,0.001
31.0,0.4095,0.4075,0.001
32.0,0.4087,0.4072,0.001
33.0,0.4078,0.4043,0.001
34.0,0.4066,0.4072,0.001
35.0,0.4059,0.4049,0.001
36.0,0.405,0.4049,0.001
37.0,0.4045,0.4035,0.001
38.0,0.4032,0.4032,0.001
39.0,0.4022,0.4099,0.001
40.0,0.4012,0.4061,0.001
41.0,0.4004,0.4046,0.001
42.0,0.3999,0.4049,0.001
43.0,0.4016,0.399,0.001
44.0,0.3979,0.3994,0.001
45.0,0.3972,0.3998,0.001
46.0,0.3966,0.3977,0.001
47.0,0.3968,0.3969,0.001
48.0,0.3968,0.3959,0.001
49.0,0.3967,0.3979,0.001
50.0,0.3968,0.3999,0.0001
1.0,0.3984,0.3943,0.001
2.0,0.3952,0.3938,0.001
1.0,0.3967,0.3931,0.001
2.0,0.3938,0.393,0.001
3.0,0.3929,0.3935,0.001
4.0,0.3925,0.3949,0.001
5.0,0.3934,0.3944,0.001
6.0,0.3927,0.3951,0.001
7.0,0.3923,0.3936,0.001
8.0,0.3927,0.3947,0.001
9.0,0.3925,0.3937,0.001
10.0,0.3928,0.3969,0.001
11.0,0.3936,0.3992,0.001
12.0,0.3941,0.3979,0.001
13.0,0.3929,0.3969,0.0009890738003669028
14.0,0.3923,0.3946,0.0009567727288213003
15.0,0.3911,0.3926,0.0009045084971874737
16.0,0.3898,0.3904,0.0008345653031794292
17.0,0.3893,0.391,0.00075
18.0,0.3889,0.3913,0.0006545084971874737
19.0,0.3887,0.3903,0.0005522642316338268
20.0,0.3878,0.3901,0.0004477357683661734
21.0,0.3864,0.3865,0.0003454915028125264
22.0,0.3854,0.3857,0.0002500000000000001
23.0,0.3848,0.3836,0.00016543469682057103
24.0,0.3842,0.3834,9.549150281252631e-05
25.0,0.3835,0.3827,4.322727117869951e-05
26.0,0.3827,0.3823,1.0926199633097156e-05
27.0,0.3824,0.3822,0.0
28.0,0.3823,0.3822,1.0926199633097156e-05
29.0,0.3824,0.3822,4.322727117869957e-05
30.0,0.3825,0.3822,9.549150281252627e-05
31.0,0.3827,0.3825,0.00016543469682057076
32.0,0.3828,0.3824,0.0002499999999999998
33.0,0.3827,0.3825,0.0003454915028125263
34.0,0.3825,0.3829,0.000447735768366173
35.0,0.3823,0.3831,0.0005522642316338266
36.0,0.3824,0.383,0.0006545084971874736
37.0,0.3828,0.3845,0.0007500000000000001
38.0,0.3841,0.3851,0.0008345653031794293
39.0,0.3842,0.3853,0.0009045084971874739
